seccion,distrito,rango_edad,sexo,nacionalidad,procedencia,total
3,3,70 - 74,Hombre,Nacional,CIUDAD REAL,1
4,3,75 - 79,Mujer,Nacional,GUADALAJARA,1
46,3,40 - 44,Hombre,Nacional,MADRID,182
4,3,65 - 69,Mujer,Nacional,CACERES,1
3,3,65 - 69,Mujer,Nacional,BURGOS,1
26,4,60 - 64,Mujer,Extranjero,PERU,2
4,3,65 - 69,Hombre,Nacional,MADRID,3
3,3,90 - 94,Mujer,Nacional,AVILA,1
4,3,75 - 79,Hombre,Nacional,SALAMANCA,1
4,3,60 - 64,Mujer,Nacional,CIUDAD REAL,1
4,3,70 - 74,Hombre,Nacional,CACERES,1
3,3,60 - 64,Hombre,Nacional,CACERES,1
7,4,65 - 69,Mujer,Nacional,MALAGA,1
8,3,80 - 84,Mujer,Nacional,CUENCA,1
3,3,95 - 99,Mujer,Nacional,ALBACETE,1
4,3,65 - 69,Mujer,Nacional,AVILA,1
25,4,70 - 74,Mujer,Nacional,CUENCA,1
4,3,30 - 34,Mujer,Nacional,MADRID,20
4,3,60 - 64,Hombre,Nacional,TOLEDO,1
26,4,55 - 59,Hombre,Extranjero,ALEMANIA,1
5,3,85 - 89,Mujer,Nacional,TOLEDO,1
5,3,75 - 79,Mujer,Nacional,TOLEDO,1
5,3,85 - 89,Hombre,Nacional,MADRID,1
9,1,75 - 79,Mujer,Nacional,TOLEDO,1
4,3,75 - 79,Mujer,Nacional,AVILA,1
34,3,50 - 54,Hombre,Nacional,MADRID,78
4,3,75 - 79,Mujer,Nacional,SALAMANCA,1
10,4,50 - 54,Mujer,Nacional,CEUTA,1
34,3,75 - 79,Hombre,Nacional,JAEN,1
5,3,65 - 69,Hombre,Nacional,BADAJOZ,1
7,4,65 - 69,Hombre,Nacional,AVILA,1
5,3,50 - 54,Mujer,Nacional,TOLEDO,2
39,3,50 - 54,Hombre,Nacional,TOLEDO,3
4,3,70 - 74,Mujer,Nacional,CORDOBA,1
4,3,75 - 79,Hombre,Nacional,CORDOBA,1
20,2,70 - 74,Mujer,Nacional,CACERES,1
7,3,50 - 54,Mujer,Nacional,CIUDAD REAL,1
4,3,70 - 74,Hombre,Nacional,CIUDAD REAL,2
16,3,70 - 74,Hombre,Nacional,AVILA,1
2,2,55 - 59,Hombre,Nacional,MADRID,14
4,3,55 - 59,Mujer,Nacional,CORU?A (LA),1
